Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Quercus alba,0.082,Med,Heterospecific,42.35,4.39,19.42,19.28,0,X,NA
Quercus alba,0.1,Med,Conspecific,9,4.97,23.56,16.63,0,X,NA
Quercus rubra,0.103,Med,Heterospecific,30.44,3.8,26.44,14.81,1,NA,NA
Quercus alba,0.08,Med,Sterilized,0,3.07,20.78,17.11,0,X,NA
Quercus alba,0.107,Med,Sterilized,11.59,3.73,21.08,17.84,1,NA,NA
Quercus alba,0.08,Med,Heterospecific,1,5.27,24.67,15.59,0,X,NA
Quercus alba,0.1,Med,Heterospecific,23.5,5.01,18.78,22.58,0,NA,X
Quercus alba,0.08,Med,Heterospecific,17,4.91,19.63,20.24,0,X,NA
Acer saccharum,0.103,Med,Conspecific,21.88,0.3,10.18,10.38,0,X,NA
Quercus alba,0.107,Med,Sterilized,11.59,3.73,21.08,17.84,0,NA,X
Quercus rubra,0.107,Med,Heterospecific,23.34,3.42,23.82,15.66,1,NA,NA
Quercus rubra,0.1,Med,Conspecific,20.4,3.66,26.29,14.71,0,NA,X
Quercus alba,0.08,Med,Heterospecific,15,3.91,18.41,21.14,0,X,NA
Quercus rubra,0.1,Med,Heterospecific,25.8,3.38,24.3,15.31,1,NA,NA
Quercus alba,0.08,Med,Sterilized,0,3.07,19.85,18.05,0,X,NA
Acer saccharum,0.103,Med,Heterospecific,14.82,-0.1,13.59,12.2,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,22.16,-0.64,13.88,12.13,1,NA,NA
Quercus rubra,0.103,Med,Heterospecific,36,3.79,25,15.42,0,X,NA
Quercus rubra,0.08,Med,Heterospecific,37,3.43,26.81,14.09,0,X,NA
Quercus alba,0.103,Med,Heterospecific,11,5.36,24.01,16.74,0,X,NA
Prunus serotina,0.103,Med,Sterilized,9,0.03,7.75,11.76,0,X,NA
Quercus rubra,0.08,Med,Sterilized,0,3.38,22.52,16.39,0,X,NA
Quercus rubra,0.08,Med,Heterospecific,50,3.44,27.07,14.3,0,X,NA
Quercus rubra,0.1,Med,Heterospecific,25.8,3.38,24.3,15.31,1,NA,NA
Quercus alba,0.103,Med,Conspecific,15,4.93,25.25,15.55,0,X,NA
Quercus rubra,0.08,Med,Heterospecific,12,3.07,26.99,13,0,X,NA
Quercus alba,0.08,Med,Heterospecific,52,4.8,17.68,22,0,X,NA
Quercus rubra,0.107,Med,Heterospecific,27.66,3.8,26.54,14.73,0,NA,X
Prunus serotina,0.08,Med,Heterospecific,31.81,0.71,9.35,11.66,1,NA,NA
Acer saccharum,0.08,Med,Sterilized,16,-0.03,12.14,12.38,0,X,NA
Quercus rubra,0.1,Med,Heterospecific,25.8,3.38,24.3,15.31,1,NA,NA
Acer saccharum,0.08,Med,Sterilized,2,0.11,12.46,13.41,0,X,NA
Quercus rubra,0.08,Med,Heterospecific,34,2.77,26.63,10.86,0,X,NA
Acer saccharum,0.08,Med,Heterospecific,14.69,0.09,13.72,12.11,1,NA,NA
Acer saccharum,0.08,Med,Sterilized,2,-0.03,10.32,12.06,0,X,NA
Quercus alba,0.103,Med,Heterospecific,33,4.82,25.1,15.28,0,X,NA
Quercus alba,0.103,Med,Heterospecific,10,4.61,25.57,15.17,0,X,NA
Prunus serotina,0.08,Med,Heterospecific,32.34,0.37,8.48,11.26,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,15.35,4.15,18.88,23.37,0,NA,X
Quercus rubra,0.1,Med,Conspecific,20.4,3.66,26.29,14.71,0,NA,X
Acer saccharum,0.095,Med,Heterospecific,26.58,0.04,15.8,12.61,0,X,NA
Acer saccharum,0.082,Med,Sterilized,1,0.36,12.5,13.9,0,X,NA
