Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Prunus serotina,0.065,Low,Heterospecific,53,0.6,5.43,7.83,0,X,NA
Prunus serotina,0.077,Med,Heterospecific,69,0.83,6.43,10.69,0,X,NA
Quercus rubra,0.074,Low,Conspecific,19.68,3.5,25.79,14.57,1,NA,NA
Quercus alba,0.051,Low,Heterospecific,19.98,3.59,19.06,20.3,1,NA,NA
Prunus serotina,0.051,Low,Heterospecific,25,0.38,5.24,4.3,0,X,NA
Prunus serotina,0.075,Low,Heterospecific,59.38,0.64,7.98,11.57,0,X,NA
Prunus serotina,0.051,Low,Heterospecific,10,0.56,5.11,9.31,0,X,NA
Quercus rubra,0.051,Low,Heterospecific,16.05,3.7,19.64,19.2,0,NA,X
Prunus serotina,0.072,Low,Heterospecific,70,0.49,6.25,10.3,0,X,NA
Acer saccharum,0.051,Low,Sterilized,6.35,-0.41,9.14,9.77,1,NA,NA
Quercus rubra,0.075,Low,Sterilized,11.37,2.77,25.63,11.37,1,NA,NA
Quercus alba,0.06,Low,Conspecific,23.75,4.66,19.15,22.08,1,NA,NA
Prunus serotina,0.052,Low,Heterospecific,59,0.85,6.4,10.39,0,X,NA
Quercus alba,0.075,Low,Conspecific,14.9,4.8,24.29,15.78,1,NA,NA
Acer saccharum,0.052,Low,Heterospecific,12,-0.09,11.08,11.41,0,X,NA
Prunus serotina,0.093,Med,Heterospecific,4,0.95,8.05,11.3,0,X,NA
Prunus serotina,0.053,Low,Heterospecific,52,1.04,6.1,10.43,0,X,NA
Prunus serotina,0.059,Low,Conspecific,17,0.49,5.65,9.71,0,X,NA
Prunus serotina,0.103,Med,Heterospecific,48,0.65,6.66,11.1,0,X,NA
Prunus serotina,0.103,Med,Heterospecific,17,0.71,10.58,14.2,0,X,NA
Acer saccharum,0.103,Med,Heterospecific,26,-0.81,13.49,12.13,0,X,NA
Quercus alba,0.075,Low,Conspecific,14.9,4.8,24.29,15.78,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,34,0.69,10.25,13.4,0,X,NA
Prunus serotina,0.103,Med,Conspecific,41,0.66,5.6,10.82,0,X,NA
Quercus alba,0.075,Low,Heterospecific,19.69,3.81,18.37,21.36,0,NA,X
Quercus rubra,0.051,Low,Heterospecific,14.84,3.47,26.47,13.85,1,NA,NA
Prunus serotina,0.11,Med,Heterospecific,51,0.96,10.4,13.5,0,X,NA
Quercus alba,0.051,Low,Heterospecific,22.72,4.43,20.55,18.63,0,NA,X
Prunus serotina,0.11,Med,Heterospecific,49,1.07,6.67,11.47,0,X,NA
Acer saccharum,0.072,Low,Sterilized,7.16,-0.21,9.55,10.02,1,NA,NA
Prunus serotina,0.11,Med,Heterospecific,21,0.56,6.16,10.68,0,X,NA
Prunus serotina,0.086,Med,Heterospecific,12,0.72,5.45,9.92,0,X,NA
Prunus serotina,0.11,Med,Heterospecific,51,0.93,10.06,13.54,0,X,NA
Prunus serotina,0.122,High,Heterospecific,13,0.36,5.23,8.42,0,X,NA
Prunus serotina,0.133,High,Heterospecific,67,1.06,7.09,11.35,0,X,NA
Prunus serotina,0.133,High,Heterospecific,69,0.82,3.82,8.6,0,X,NA
Prunus serotina,0.122,High,Heterospecific,37,0.76,8.25,11.72,0,X,NA
Prunus serotina,0.133,High,Heterospecific,92,0.92,8.99,11.81,0,X,NA
Quercus alba,0.06,Low,Heterospecific,26.08,4.66,19.2,21.57,0,NA,X
Acer saccharum,0.06,Low,Sterilized,5.7,-0.27,9,9.03,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,13.12,4.37,18.71,23.35,0,NA,X
Prunus serotina,0.072,Low,Conspecific,36.12,0.42,5.29,7.32,0,NA,X
Acer saccharum,0.105,Med,Heterospecific,21,-0.52,12.34,11.75,0,X,NA
Prunus serotina,0.105,Med,Heterospecific,25,0.68,11.08,14.17,0,X,NA
Prunus serotina,0.105,Med,Heterospecific,22,0.79,10.57,14.78,0,X,NA
Prunus serotina,0.105,Med,Conspecific,63,0.46,5.16,8.64,0,X,NA
Prunus serotina,0.105,Med,Heterospecific,77,0.85,4.54,8.38,0,X,NA
Acer saccharum,0.072,Low,Heterospecific,15.03,0.03,13.72,12.34,1,NA,NA
Quercus alba,0.095,Med,Heterospecific,21.77,5.05,18.84,22.51,1,NA,NA
Prunus serotina,0.118,Med,Heterospecific,65,1.28,8.91,11.89,0,X,NA
Prunus serotina,0.111,Med,Heterospecific,63,0.9,5.95,10.29,0,X,NA
Quercus alba,0.111,Med,Heterospecific,23.12,5.11,18.4,22.88,1,NA,NA
Quercus rubra,0.072,Low,Heterospecific,18.25,2.57,24.22,11.95,0,NA,X
Acer saccharum,0.072,Low,Heterospecific,18.01,-0.18,10.37,10.95,1,NA,NA
Prunus serotina,0.141,High,Heterospecific,6,1.29,5.66,10.68,0,X,NA
Prunus serotina,0.14,High,Heterospecific,83,1.15,9.47,12.18,0,X,NA
Prunus serotina,0.14,High,Heterospecific,80,1.29,8.73,12.19,0,X,NA
Quercus rubra,0.06,Low,Heterospecific,15.49,3.8,20.73,18.53,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,20.14,4.74,18.34,22.05,0,NA,X
Prunus serotina,0.14,High,Heterospecific,48,1.2,9.74,12.64,0,X,NA
Prunus serotina,0.06,Low,Sterilized,12.79,0.28,5.18,8.17,0,NA,X
Prunus serotina,0.14,High,Heterospecific,48,1.2,10.44,14.92,0,X,NA
Prunus serotina,0.14,High,Heterospecific,20.97,1.03,8.87,12.26,0,X,NA
Prunus serotina,0.141,High,Heterospecific,92,0.94,9.29,11.65,0,X,NA
Prunus serotina,0.148,High,Heterospecific,77,1.07,6.63,10.18,0,X,NA
Prunus serotina,0.14,High,Heterospecific,41,0.93,6.24,10.88,0,X,NA
Prunus serotina,0.161,High,Sterilized,15.04,0.09,9.34,12.14,1,NA,NA
Prunus serotina,0.138,High,Heterospecific,15,1.29,6.17,11.23,0,X,NA
Quercus alba,0.06,Low,Heterospecific,26.08,4.66,19.2,21.57,0,NA,X
Prunus serotina,0.138,High,Conspecific,63,0.76,7.99,12.14,0,X,NA
Quercus alba,0.06,Low,Heterospecific,15.17,4.74,23.67,16.12,0,NA,X
Quercus alba,0.06,Low,Sterilized,10.56,2.46,19.5,18.63,1,NA,NA
Prunus serotina,0.161,High,Heterospecific,53,1.2,10.75,14.03,0,X,NA
Quercus rubra,0.078,Med,Sterilized,10.62,3.02,24.76,13.06,1,NA,NA
Prunus serotina,0.065,Low,Heterospecific,25.23,0.61,7.37,11.29,1,NA,NA
Quercus alba,0.047,Low,Heterospecific,22.03,4.64,18.68,21.78,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,26.08,4.66,19.2,21.57,0,NA,X
Quercus alba,0.06,Low,Sterilized,10.56,2.46,19.5,18.63,1,NA,NA
Quercus alba,0.06,Low,Sterilized,10.56,2.46,19.5,18.63,1,NA,NA
Prunus serotina,0.052,Low,Heterospecific,48.86,0.55,4.9,6.86,1,NA,NA
Prunus serotina,0.086,Med,Heterospecific,29.94,0.56,10.76,13.39,1,NA,NA
Prunus serotina,0.093,Med,Heterospecific,29.42,0.68,10.46,13.7,1,NA,NA
Quercus rubra,0.072,Low,Heterospecific,22.07,3.83,22.69,16.83,1,NA,NA
Quercus alba,0.095,Med,Heterospecific,15.11,4.2,18.95,23.26,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,20.14,4.74,18.34,22.05,1,NA,NA
Quercus rubra,0.06,Low,Conspecific,16.59,2.37,25.82,11.39,1,NA,NA
Acer saccharum,0.06,Low,Conspecific,15.57,-0.08,10.13,10.81,1,NA,NA
Quercus alba,0.148,High,Heterospecific,19.46,5,19.52,21.13,1,NA,NA
Quercus alba,0.072,Low,Heterospecific,19.99,4.27,19.83,19.75,0,NA,X
Quercus alba,0.138,High,Heterospecific,17.96,4.54,19.14,24.27,1,NA,NA
Quercus alba,0.078,Med,Heterospecific,14.1,4.71,21.11,18.02,1,NA,NA
Acer saccharum,0.077,Med,Heterospecific,19.64,-0.63,14.05,12.01,1,NA,NA
Acer saccharum,0.052,Low,Heterospecific,20.66,-0.58,10.16,10.87,1,NA,NA
Acer saccharum,0.077,Med,Heterospecific,19.64,-0.63,14.05,12.01,1,NA,NA
Acer saccharum,0.086,Med,Heterospecific,21.35,-0.58,14.11,12.2,1,NA,NA
Acer saccharum,0.086,Med,Heterospecific,21.35,-0.58,14.11,12.2,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,38.92,0.7,8.13,11.62,1,NA,NA
Acer saccharum,0.106,Med,Sterilized,8.35,0.04,12.12,12.21,1,NA,NA
Acer saccharum,0.106,Med,Heterospecific,22,-0.56,13.86,12.15,1,NA,NA
Acer saccharum,0.106,Med,Heterospecific,22,-0.56,13.86,12.15,1,NA,NA
Acer saccharum,0.106,Med,Heterospecific,22,-0.56,13.86,12.15,1,NA,NA
Acer saccharum,0.1,Med,Heterospecific,14.57,0.22,13.76,12.17,1,NA,NA
Acer saccharum,0.097,Med,Heterospecific,24.09,-0.87,14.03,12.27,1,NA,NA
Acer saccharum,0.083,Med,Heterospecific,20.55,-0.63,14.24,12.27,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,32.24,0.74,10.55,13.74,1,NA,NA
Prunus serotina,0.08,Med,Conspecific,29.88,0.43,9.1,11.74,1,NA,NA
Prunus serotina,0.08,Med,Heterospecific,31.81,0.71,9.35,11.66,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,23.87,4.32,19.24,21.51,0,NA,X
Prunus serotina,0.08,Med,Heterospecific,31.81,0.71,9.35,11.66,1,NA,NA
Quercus alba,0.055,Low,Sterilized,10.58,2.29,19.25,18.63,0,NA,X
Prunus serotina,0.08,Med,Heterospecific,46.72,0.69,7.3,11.32,1,NA,NA
Prunus serotina,0.08,Med,Heterospecific,46.72,0.69,7.3,11.32,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,41.12,0.78,10.16,13.45,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,39.26,0.7,8.31,11.56,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,22.16,-0.64,13.88,12.13,1,NA,NA
Prunus serotina,0.08,Med,Heterospecific,25.38,0.64,9.25,11.86,1,NA,NA
Prunus serotina,0.095,Med,Heterospecific,35.15,0.59,9.59,11.92,1,NA,NA
Quercus alba,0.068,Low,Heterospecific,19.1,4.81,25.32,15.2,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,22.16,-0.64,13.88,12.13,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,25.27,0.62,9.43,11.94,1,NA,NA
Prunus serotina,0.095,Med,Conspecific,23.45,0.32,10.23,13.9,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,41.39,0.78,10.2,13.54,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,28.46,0.65,10.38,13.66,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,40.12,0.72,8.64,11.85,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,36.65,0.71,10.43,13.72,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,25.27,0.62,9.43,11.94,1,NA,NA
Prunus serotina,0.087,Med,Conspecific,22.46,0.38,10.27,14.03,1,NA,NA
Acer saccharum,0.082,Med,Heterospecific,21.02,-0.63,14.18,12.41,1,NA,NA
Prunus serotina,0.087,Med,Conspecific,22.46,0.38,10.27,14.03,1,NA,NA
Acer saccharum,0.068,Low,Sterilized,5.14,-0.21,9.36,9.89,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,36.65,0.71,10.43,13.72,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,40.12,0.72,8.64,11.85,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,41.69,0.67,7.08,11.28,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,20.69,-0.57,14.06,12.3,1,NA,NA
Prunus serotina,0.082,Med,Conspecific,30.68,0.38,9.31,11.9,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,20.45,0.3,10.69,13.27,1,NA,NA
Prunus serotina,0.075,Low,Heterospecific,20.04,0.62,5.12,8.19,1,NA,NA
Acer saccharum,0.079,Med,Heterospecific,22.78,-0.65,14.27,12.12,1,NA,NA
Acer saccharum,0.08,Med,Heterospecific,22.23,-0.71,14.29,12.36,1,NA,NA
Acer saccharum,0.061,Low,Sterilized,8.25,-0.2,10.78,11.85,1,NA,NA
Quercus rubra,0.068,Low,Heterospecific,21.9,2.54,25.22,11.25,0,NA,X
Acer saccharum,0.061,Low,Heterospecific,18.89,-0.69,13.64,12.17,1,NA,NA
Acer saccharum,0.063,Low,Heterospecific,20.17,-0.7,14,11.94,1,NA,NA
Prunus serotina,0.077,Med,Conspecific,48.57,0.53,5.18,7.13,1,NA,NA
Prunus serotina,0.065,Low,Heterospecific,25.23,0.61,7.37,11.29,1,NA,NA
Prunus serotina,0.065,Low,Heterospecific,33.09,0.53,5.38,6.81,1,NA,NA
Prunus serotina,0.077,Med,Heterospecific,32.39,0.73,7.75,11.34,1,NA,NA
Prunus serotina,0.065,Low,Heterospecific,32.22,0.7,6.81,10.95,1,NA,NA
Acer saccharum,0.077,Med,Heterospecific,19.64,-0.63,14.05,12.01,1,NA,NA
Prunus serotina,0.077,Med,Heterospecific,47.55,0.61,5.31,7.89,1,NA,NA
Prunus serotina,0.077,Med,Heterospecific,57.81,0.58,5.41,6.68,1,NA,NA
Prunus serotina,0.077,Med,Conspecific,48.57,0.53,5.18,7.13,1,NA,NA
Prunus serotina,0.077,Med,Heterospecific,23.12,0.64,5.16,7.99,1,NA,NA
Acer saccharum,0.065,Low,Heterospecific,20.26,-0.69,14,11.94,1,NA,NA
Quercus alba,0.055,Low,Conspecific,26.13,4.6,19.01,22.53,1,NA,NA
Prunus serotina,0.074,Low,Heterospecific,32.09,0.58,5.21,6.67,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,15.04,3.78,20.24,18.82,1,NA,NA
Prunus serotina,0.071,Low,Conspecific,36.17,0.4,5.28,7.28,1,NA,NA
Prunus serotina,0.071,Low,Heterospecific,19.46,0.67,6.65,10.97,1,NA,NA
Quercus rubra,0.068,Low,Conspecific,16.3,2.49,25.27,11.64,0,NA,X
Prunus serotina,0.074,Low,Heterospecific,27.64,0.64,7.05,11.39,1,NA,NA
Prunus serotina,0.074,Low,Conspecific,34.77,0.46,5.11,7.11,1,NA,NA
Prunus serotina,0.073,Low,Conspecific,32.01,0.42,5.3,7.15,1,NA,NA
Prunus serotina,0.073,Low,Heterospecific,31.46,0.67,7.54,11.5,1,NA,NA
Prunus serotina,0.073,Low,Heterospecific,31.46,0.67,7.54,11.5,1,NA,NA
Acer saccharum,0.073,Low,Heterospecific,22.62,-0.71,13.98,11.83,1,NA,NA
Acer saccharum,0.074,Low,Heterospecific,18.47,-0.63,13.61,11.92,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,20.01,4.66,20.98,18.33,0,NA,X
Prunus serotina,0.073,Low,Heterospecific,31.46,0.67,7.54,11.5,1,NA,NA
Prunus serotina,0.074,Low,Heterospecific,32.09,0.58,5.21,6.67,1,NA,NA
Prunus serotina,0.073,Low,Conspecific,32.01,0.42,5.3,7.15,1,NA,NA
Prunus serotina,0.073,Low,Heterospecific,20.12,0.6,5.11,8.14,1,NA,NA
Acer saccharum,0.075,Low,Heterospecific,21.42,-0.68,13.96,11.83,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,30.61,3.91,27.28,15.18,0,NA,X
Quercus rubra,0.055,Low,Heterospecific,15.04,3.78,20.24,18.82,0,NA,X
Acer saccharum,0.075,Low,Heterospecific,21.42,-0.68,13.96,11.83,1,NA,NA
Acer saccharum,0.075,Low,Heterospecific,21.42,-0.68,13.96,11.83,1,NA,NA
Acer saccharum,0.055,Low,Heterospecific,13.31,0.01,10.11,10.79,1,NA,NA
Acer saccharum,0.055,Low,Heterospecific,17.82,-0.13,9.36,9.45,1,NA,NA
Quercus rubra,0.068,Low,Heterospecific,20.27,3.51,27.39,13.87,0,NA,X
Acer saccharum,0.032,Low,Conspecific,19.41,-0.24,9.61,10.03,1,NA,NA
Prunus serotina,0.052,Low,Heterospecific,30.09,0.73,5.99,9.98,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,36.65,0.71,10.43,13.72,1,NA,NA
Quercus alba,0.068,Low,Heterospecific,21.72,4.52,22,17.55,0,NA,X
Prunus serotina,0.052,Low,Heterospecific,25.63,0.51,4.87,6.83,1,NA,NA
Acer saccharum,0.087,Med,Sterilized,8.7,0.05,12.43,12.39,1,NA,NA
Prunus serotina,0.052,Low,Heterospecific,25.63,0.51,4.87,6.83,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,38.92,0.7,8.13,11.62,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,28.46,0.65,10.38,13.66,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,41.39,0.78,10.2,13.54,1,NA,NA
Prunus serotina,0.093,Med,Heterospecific,40.21,0.75,10.36,13.63,1,NA,NA
Prunus serotina,0.077,Med,Heterospecific,57.81,0.58,5.41,6.68,1,NA,NA
Prunus serotina,0.086,Med,Heterospecific,32.51,0.63,10.91,13.43,1,NA,NA
Quercus rubra,0.055,Low,Conspecific,12.68,2.36,25.86,11.26,0,NA,X
Prunus serotina,0.086,Med,Conspecific,22.89,0.19,10.49,13.72,1,NA,NA
Quercus alba,0.068,Low,Heterospecific,19,4.85,25.21,15.67,1,NA,NA
Prunus serotina,0.093,Med,Conspecific,22.16,0.19,10.53,13.99,1,NA,NA
Quercus rubra,0.05,Low,Heterospecific,15.11,2.42,23.34,12.3,0,NA,X
Quercus rubra,0.055,Low,Heterospecific,30.61,3.91,27.28,15.18,1,NA,NA
Prunus serotina,0.093,Med,Conspecific,22.16,0.19,10.53,13.99,1,NA,NA
Prunus serotina,0.093,Med,Conspecific,22.16,0.19,10.53,13.99,1,NA,NA
Quercus rubra,0.055,Low,Conspecific,12.68,2.36,25.86,11.26,0,NA,X
Prunus serotina,0.086,Med,Heterospecific,35.87,0.72,10.36,13.55,1,NA,NA
Prunus serotina,0.093,Med,Heterospecific,40.21,0.75,10.36,13.63,1,NA,NA
Quercus rubra,0.05,Low,Heterospecific,23.44,3.82,26.95,14.67,1,NA,NA
Prunus serotina,0.086,Med,Conspecific,22.89,0.19,10.49,13.72,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,17.77,-0.2,10.8,11.03,1,NA,NA
Acer saccharum,0.074,Low,Heterospecific,18.47,-0.63,13.61,11.92,1,NA,NA
Acer saccharum,0.074,Low,Heterospecific,18.47,-0.63,13.61,11.92,1,NA,NA
Acer saccharum,0.11,Med,Heterospecific,15.14,-0.04,13.23,12.2,1,NA,NA
Acer saccharum,0.133,High,Conspecific,19.54,0.46,13.77,12.5,1,NA,NA
Acer saccharum,0.133,High,Heterospecific,21.71,-0.59,13.72,12.22,1,NA,NA
Acer saccharum,0.105,Med,Heterospecific,22.32,-0.56,13.96,12.12,1,NA,NA
Acer saccharum,0.111,Med,Sterilized,8.61,0.1,12.12,12.1,1,NA,NA
Acer saccharum,0.118,Med,Heterospecific,25.33,-0.75,12.88,12.14,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,20.01,4.66,20.98,18.33,1,NA,NA
Acer saccharum,0.141,High,Heterospecific,14.28,0.34,13.93,12.44,1,NA,NA
Quercus rubra,0.141,High,Conspecific,23.6,4.32,20.32,20.84,1,NA,NA
Prunus serotina,0.108,Med,Conspecific,23.31,0.2,10.42,13.92,1,NA,NA
Quercus alba,0.05,Low,Sterilized,9.44,2.38,18.81,18.49,0,NA,X
Quercus rubra,0.055,Low,Heterospecific,16.38,3.78,20.27,18.87,1,NA,NA
Prunus serotina,0.106,Med,Heterospecific,40.94,0.81,10.46,14.29,1,NA,NA
Prunus serotina,0.106,Med,Heterospecific,37.24,0.6,9.8,12.17,1,NA,NA
Prunus serotina,0.098,Med,Heterospecific,37.78,0.71,8.34,11.45,1,NA,NA
Prunus serotina,0.107,Med,Conspecific,26.28,0.19,10.56,13.97,1,NA,NA
Quercus alba,0.05,Low,Heterospecific,23.54,4.31,19.4,20.31,1,NA,NA
Prunus serotina,0.107,Med,Heterospecific,44.63,0.82,10.1,13.63,1,NA,NA
Quercus alba,0.05,Low,Heterospecific,20.71,4.66,18.64,21.83,0,NA,X
Prunus serotina,0.107,Med,Heterospecific,38.61,0.67,9.22,11.93,1,NA,NA
Prunus serotina,0.1,Med,Conspecific,22.84,0.21,10.4,13.93,1,NA,NA
Prunus serotina,0.107,Med,Heterospecific,44.63,0.82,10.1,13.63,1,NA,NA
Prunus serotina,0.107,Med,Heterospecific,44.63,0.82,10.1,13.63,1,NA,NA
Prunus serotina,0.107,Med,Heterospecific,38.61,0.67,9.22,11.93,1,NA,NA
Quercus rubra,0.055,Low,Sterilized,12.48,2.53,27.33,9.95,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,29.62,4.59,19.2,21.61,1,NA,NA
Prunus serotina,0.107,Med,Conspecific,26.28,0.19,10.56,13.97,1,NA,NA
Prunus serotina,0.107,Med,Heterospecific,44.63,0.82,10.1,13.63,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,24.39,0.62,9.43,11.96,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,37.18,0.63,7.87,11.46,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,24.39,0.62,9.43,11.96,1,NA,NA
Quercus alba,0.055,Low,Sterilized,10.58,2.29,19.25,18.63,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,43.67,0.79,9.95,13.16,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,33.29,0.57,10.94,13.76,1,NA,NA
Quercus rubra,0.05,Low,Sterilized,11.48,2.54,26.12,11.05,0,NA,X
Quercus rubra,0.083,Med,Sterilized,4.89,3.39,24.95,14.51,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,36.14,0.71,8.39,11.59,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,41.92,0.74,8.53,11.85,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,37.18,0.63,7.87,11.46,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,33.29,0.57,10.94,13.76,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,37.18,0.63,7.87,11.46,1,NA,NA
Quercus rubra,0.05,Low,Sterilized,11.48,2.54,26.12,11.05,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,29.61,0.56,10.65,13.69,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,31,0.57,10.76,13.36,1,NA,NA
Quercus alba,0.05,Low,Heterospecific,21.36,4.76,19.11,22.08,0,NA,X
Acer saccharum,0.118,Med,Heterospecific,25.33,-0.75,12.88,12.14,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,43.67,0.79,9.95,13.16,1,NA,NA
Acer saccharum,0.082,Med,Heterospecific,21.02,-0.63,14.18,12.41,1,NA,NA
Prunus serotina,0.1,Med,Conspecific,22.84,0.21,10.4,13.93,1,NA,NA
Prunus serotina,0.082,Med,Conspecific,30.68,0.38,9.31,11.9,1,NA,NA
Prunus serotina,0.1,Med,Heterospecific,32.05,0.73,10.55,13.75,1,NA,NA
Prunus serotina,0.1,Med,Heterospecific,31.81,0.71,10.3,13.48,1,NA,NA
Quercus rubra,0.05,Low,Heterospecific,18.87,3.84,23.21,16.67,1,NA,NA
Quercus rubra,0.055,Low,Sterilized,12.48,2.53,27.33,9.95,0,NA,X
Quercus alba,0.055,Low,Heterospecific,19.17,4.73,18.57,22.51,1,NA,NA
Quercus alba,0.05,Low,Sterilized,9.44,2.38,18.81,18.49,0,NA,X
Prunus serotina,0.082,Med,Heterospecific,41.69,0.67,7.08,11.28,1,NA,NA
Acer saccharum,0.082,Med,Heterospecific,21.02,-0.63,14.18,12.41,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,44.69,0.69,10.07,13,1,NA,NA
Prunus serotina,0.1,Med,Conspecific,22.84,0.21,10.4,13.93,1,NA,NA
Prunus serotina,0.1,Med,Conspecific,22.84,0.21,10.4,13.93,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,41.69,0.67,7.08,11.28,1,NA,NA
Prunus serotina,0.1,Med,Heterospecific,32.05,0.73,10.55,13.75,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,14.33,-0.04,13.45,12.56,1,NA,NA
Quercus rubra,0.063,Low,Sterilized,11.79,2.56,25.62,11.47,0,NA,X
Prunus serotina,0.08,Med,Sterilized,12.2,0.07,7.43,11.6,1,NA,NA
Quercus rubra,0.047,Low,Sterilized,10.34,2.48,26.38,11.04,1,NA,NA
Prunus serotina,0.08,Med,Sterilized,12.2,0.07,7.43,11.6,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,19.14,0.34,10.75,13.6,1,NA,NA
Acer saccharum,0.08,Med,Heterospecific,12.57,-0.1,13.73,12.47,1,NA,NA
Prunus serotina,0.08,Med,Heterospecific,32.34,0.37,8.48,11.26,1,NA,NA
Quercus rubra,0.047,Low,Heterospecific,16.59,2.4,23.47,12.33,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,12.55,0.18,14.06,12.1,1,NA,NA
Acer saccharum,0.08,Med,Heterospecific,12.57,-0.1,13.73,12.47,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,19.14,0.34,10.75,13.6,1,NA,NA
Acer saccharum,0.082,Med,Heterospecific,14.77,-0.05,14.08,12.62,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,14.91,0.31,13.94,12.3,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,14.91,0.31,13.94,12.3,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,20.45,0.3,10.69,13.27,1,NA,NA
Quercus rubra,0.063,Low,Conspecific,18.62,2.42,26.84,9.78,1,NA,NA
Prunus serotina,0.087,Med,Sterilized,8.73,0.06,7.69,11.93,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,14.91,0.31,13.94,12.3,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,13.4,-0.02,13.88,12.46,1,NA,NA
Quercus alba,0.092,Med,Heterospecific,18.61,5.04,18.68,22.25,1,NA,NA
Prunus serotina,0.082,Med,Heterospecific,41.69,0.67,7.08,11.28,1,NA,NA
Prunus serotina,0.078,Med,Heterospecific,32.66,0.6,5.31,7.66,1,NA,NA
Prunus serotina,0.082,Med,Conspecific,30.68,0.38,9.31,11.9,1,NA,NA
Quercus alba,0.063,Low,Heterospecific,21.41,4.78,26.68,14.82,0,NA,X
Prunus serotina,0.078,Med,Conspecific,34.76,0.46,8.54,11.6,1,NA,NA
Prunus serotina,0.078,Med,Heterospecific,34.41,0.67,8.36,11.43,1,NA,NA
Prunus serotina,0.078,Med,Heterospecific,34.41,0.67,8.36,11.43,1,NA,NA
Prunus serotina,0.079,Med,Heterospecific,37.6,0.74,7.83,11.34,1,NA,NA
Prunus serotina,0.08,Med,Conspecific,29.88,0.43,9.1,11.74,1,NA,NA
Prunus serotina,0.079,Med,Heterospecific,37.6,0.74,7.83,11.34,1,NA,NA
Prunus serotina,0.079,Med,Conspecific,34.48,0.5,7.95,11.53,1,NA,NA
Quercus rubra,0.047,Low,Heterospecific,21.96,3.84,27.2,14.78,1,NA,NA
Prunus serotina,0.079,Med,Heterospecific,32.86,0.63,5.48,9.77,1,NA,NA
Prunus serotina,0.061,Low,Heterospecific,34.46,0.7,7.99,11.69,1,NA,NA
Prunus serotina,0.061,Low,Heterospecific,25.93,0.6,6.97,11.03,1,NA,NA
Prunus serotina,0.061,Low,Heterospecific,34.64,0.51,5.38,6.91,1,NA,NA
